user_id,truth
744025,1.0
1270299,1.0
571220,0.0
1308501,0.0
745554,0.0
1031012,1.0
913297,0.0
266500,0.0
475120,1.0
547944,1.0
916655,1.0
719262,1.0
1026175,1.0
1140342,0.0
688100,1.0
1342459,0.0
926263,0.0
40710,1.0
246954,1.0
153579,1.0
161418,1.0
649526,1.0
376694,1.0
1265894,0.0
290029,0.0
926952,0.0
70931,0.0
319938,1.0
711107,1.0
872383,0.0
324085,0.0
720967,1.0
895912,0.0
396421,0.0
605799,1.0
374225,0.0
188120,1.0
4416,1.0
245385,1.0
1244564,0.0
321610,1.0
998568,0.0
362447,1.0
508312,0.0
828824,0.0
604296,0.0
1040779,1.0
104515,1.0
909345,0.0
584573,1.0
809615,0.0
705594,1.0
544673,1.0
1353252,1.0
1228936,1.0
130304,1.0
636433,0.0
649913,1.0
300198,1.0
958588,0.0
365947,0.0
546663,0.0
358836,1.0
572651,0.0
200677,0.0
121072,1.0
283372,0.0
1046808,1.0
286389,0.0
785752,1.0
65439,0.0
1070734,0.0
409296,1.0
507130,1.0
46089,0.0
363195,0.0
826213,0.0
1095380,0.0
742578,1.0
278433,1.0
129695,0.0
1344791,0.0
1096813,0.0
848341,0.0
1068843,1.0
419912,0.0
823586,0.0
296386,0.0
1161945,1.0
200400,0.0
1195373,0.0
973391,1.0
65575,0.0
837576,0.0
298119,1.0
1358198,0.0
375546,1.0
544646,0.0
607849,0.0
354025,1.0
1331521,1.0
1191566,0.0
199629,1.0
1236008,1.0
214542,0.0
350622,0.0
190614,1.0
964475,1.0
45704,1.0
878391,1.0
1105526,1.0
164445,1.0
488255,1.0
143944,1.0
802240,1.0
1314381,1.0
863520,0.0
322780,1.0
1115620,1.0
1004240,1.0
91631,0.0
1306292,1.0
305295,0.0
46877,1.0
1366339,0.0
1055951,0.0
1186938,1.0
253904,1.0
78349,0.0
1260188,0.0
1016609,0.0
993751,0.0
826191,0.0
1042464,0.0
600907,0.0
75238,0.0
600462,1.0
43426,0.0
1016709,0.0
1076150,1.0
861690,1.0
1346568,0.0
461873,1.0
1102232,1.0
1056760,0.0
1360047,1.0
548821,1.0
525224,1.0
626427,0.0
421532,1.0
1246316,1.0
1136225,0.0
54409,0.0
1355576,1.0
1210417,0.0
1306727,0.0
74795,0.0
277129,0.0
566363,1.0
938471,1.0
854397,0.0
916651,0.0
563921,0.0
834452,0.0
73231,0.0
271320,1.0
669733,1.0
1233955,1.0
344986,1.0
938665,0.0
1236803,1.0
1351499,0.0
637808,1.0
293848,1.0
513125,0.0
691108,0.0
160727,1.0
596133,1.0
739435,1.0
896365,1.0
637043,1.0
1073967,1.0
147719,1.0
1185725,0.0
96837,0.0
936980,1.0
504530,1.0
1321156,1.0
1266591,0.0
439287,1.0
1118764,0.0
93998,1.0
970095,0.0
371858,1.0
1066803,0.0
1216582,1.0
1178385,0.0
402989,0.0
355400,0.0
871022,1.0
243472,0.0
1230981,0.0
1238233,1.0
791615,1.0
182433,0.0
217197,0.0
1008941,0.0
993515,0.0
799592,0.0
754235,0.0
337538,0.0
602426,1.0
175900,1.0
320121,0.0
1366497,1.0
543569,1.0
904710,1.0
203323,0.0
320114,0.0
1191863,0.0
748064,0.0
701132,0.0
483305,0.0
1258028,1.0
139133,1.0
548906,1.0
102795,0.0
595835,1.0
1091799,1.0
394049,0.0
773358,1.0
318109,1.0
291352,0.0
1178849,0.0
651257,1.0
445835,1.0
1144351,0.0
773513,0.0
485725,0.0
1011726,1.0
1209968,1.0
435886,1.0
465038,1.0
627033,1.0
1247690,0.0
763791,1.0
184855,1.0
895542,1.0
1006389,1.0
265351,0.0
402729,0.0
23259,1.0
81997,0.0
165142,1.0
688755,0.0
476719,0.0
926677,0.0
318136,1.0
484341,0.0
795340,0.0
588192,1.0
1332698,0.0
530363,1.0
1150284,1.0
1298178,0.0
1166570,1.0
840265,1.0
1336125,1.0
663133,1.0
914208,1.0
643951,0.0
624118,1.0
493038,0.0
7746,0.0
946860,1.0
446560,0.0
1279469,0.0
928783,1.0
471519,1.0
1204978,1.0
1215838,0.0
1150480,1.0
884245,1.0
798951,1.0
801040,0.0
711794,1.0
494610,0.0
210948,0.0
1150289,1.0
758161,1.0
136101,1.0
1263601,1.0
